"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"APLN";144,520879583518;1,571131447134;0,226985709965778;2,96973134785489e-13;5,13384408538744e-12
"HEPACAM2";70,6720811223578;1,5693321048586;0,462293224201329;3,28589186109612e-05;0,000151656547435206
"CCDC110";131,207346448344;1,56725442141096;0,235856476420792;1,65419887257684e-12;2,51613713067461e-11
"PCSK6";667,497019332817;1,56458015899017;0,131995889922169;2,57466327131097e-33;1,16757985559451e-30
"SLC24A2";145,94160273587;1,5574584466127;0,482193239736774;5,72917733319061e-06;3,05243054637205e-05
"SUCNR1";66,6764733478311;1,5558977339188;0,455223311308521;1,74295279116104e-05;8,46515054237616e-05
"FBP2";11,8597190873996;1,55551332500137;0,796039328157633;0,000772277269887177;0,00269640228519247
"GDF15";2165,16081977511;1,55416823966037;0,20312044041538;4,08091063738114e-16;1,03616871652256e-14
"EPCAM";2593,48975808527;1,55406983861812;0,107801718078612;3,84433586227611e-48;9,37056866429801e-45
"ACTA1";152,51140865375;-1,55363717402822;0,528699193304619;0,000148535354883301;0,000607474710617529
"MMP10";107,633262478036;1,5499997747178;0,295194176641598;2,88810750013836e-09;2,66153573973053e-08
"CRISPLD1";1909,55803668496;1,54876611892592;0,254131225847085;4,24317812969573e-11;5,2006268717201e-10
"FGL1";32,8127228735159;1,54738186837764;0,732070337344516;0,000797028510969611;0,00277437628773785
"LAMB3";1090,87981810816;-1,5464380179385;0,168432442680779;1,83501159738184e-21;1,07133910625586e-19
"AOC1";616,371616383733;-1,54057189422647;0,379615485976789;9,28887470151265e-07;5,72662208913995e-06
"TMEM190";12,0776716370653;1,53981798346245;0,701275404735079;0,000898847058940324;0,00309454760758056
"FZD8";482,11672874736;1,53878370393522;0,176854561543564;1,24336154603382e-19;5,29378824184705e-18
"MARCKSL1";2543,09644473549;1,53755235964825;0,0931300710938321;1,23598897749941e-61;1,20508925306193e-57
"MKI67";681,188641467087;1,53588953488699;0,144009702326019;1,09663771795645e-27;1,84348581897852e-25
"NEK2";49,358948284424;1,5353485484446;0,269170212473508;3,07190975700741e-10;3,2397101277255e-09
